State,Year,Measure 1,Measure 2,Format,Value,
Alabama,2014,Child Fatalities (unique count),Reported in the Child File,Number,17,
Alabama,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Alabama,2014,Child Fatalities (unique count),Total,Number,17,
Alabama,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.534890314,
Alaska,2014,Child Fatalities (unique count),Reported in the Agency File,Number,3,
Alaska,2014,Child Fatalities (unique count),Total,Number,3,
Alaska,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.608208295,
Arizona,2014,Child Fatalities (unique count),Reported in the Child File,Number,43,
Arizona,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Arizona,2014,Child Fatalities (unique count),Total,Number,43,
Arizona,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.651551589,
Arkansas,2014,Child Fatalities (unique count),Reported in the Child File,Number,21,
Arkansas,2014,Child Fatalities (unique count),Total,Number,21,
Arkansas,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.970217208,
California,2014,Child Fatalities (unique count),Reported in the Agency File,Number,131,
California,2014,Child Fatalities (unique count),Total,Number,131,
California,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.431200968,
Colorado,2014,Child Fatalities (unique count),Reported in the Child File,Number,16,
Colorado,2014,Child Fatalities (unique count),Reported in the Agency File,Number,4,
Colorado,2014,Child Fatalities (unique count),Total,Number,20,
Colorado,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.604657358,
Connecticut,2014,Child Fatalities (unique count),Reported in the Child File,Number,13,
Connecticut,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Connecticut,2014,Child Fatalities (unique count),Total,Number,13,
Connecticut,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.676489174,
Delaware,2014,Child Fatalities (unique count),Reported in the Child File,Number,5,
Delaware,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Delaware,2014,Child Fatalities (unique count),Total,Number,5,
Delaware,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.448016372,
District of Columbia,2014,Child Fatalities (unique count),Reported in the Child File,Number,3,
District of Columbia,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
District of Columbia,2014,Child Fatalities (unique count),Total,Number,3,
District of Columbia,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.601795239,
Florida,2014,Child Fatalities (unique count),Reported in the Child File,Number,138,
Florida,2014,Child Fatalities (unique count),Total,Number,138,
Florida,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.404394728,
Georgia,2014,Child Fatalities (unique count),Reported in the Child File,Number,99,
Georgia,2014,Child Fatalities (unique count),Reported in the Agency File,Number,4,
Georgia,2014,Child Fatalities (unique count),Total,Number,103,
Georgia,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",4.131101095,
Hawaii,2014,Child Fatalities (unique count),Reported in the Child File,Number,2,
Hawaii,2014,Child Fatalities (unique count),Total,Number,2,
Hawaii,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.64841592,
Idaho,2014,Child Fatalities (unique count),Reported in the Child File,Number,2,
Idaho,2014,Child Fatalities (unique count),Reported in the Agency File,Number,2,
Idaho,2014,Child Fatalities (unique count),Total,Number,4,
Idaho,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.927902014,
Illinois,2014,Child Fatalities (unique count),Reported in the Child File,Number,105,
Illinois,2014,Child Fatalities (unique count),Total,Number,105,
Illinois,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.513498863,
Indiana,2014,Child Fatalities (unique count),Reported in the Child File,Number,49,
Indiana,2014,Child Fatalities (unique count),Total,Number,49,
Indiana,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.097488064,
Iowa,2014,Child Fatalities (unique count),Reported in the Child File,Number,8,
Iowa,2014,Child Fatalities (unique count),Total,Number,8,
Iowa,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.101998198,
Kansas,2014,Child Fatalities (unique count),Reported in the Child File,Number,12,
Kansas,2014,Child Fatalities (unique count),Reported in the Agency File,Number,1,
Kansas,2014,Child Fatalities (unique count),Total,Number,13,
Kansas,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.798894648,
Kentucky,2014,Child Fatalities (unique count),Reported in the Child File,Number,15,
Kentucky,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Kentucky,2014,Child Fatalities (unique count),Total,Number,15,
Kentucky,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.481314696,
Louisiana,2014,Child Fatalities (unique count),Reported in the Child File,Number,31,
Louisiana,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Louisiana,2014,Child Fatalities (unique count),Total,Number,31,
Louisiana,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.784031871,
Maryland,2014,Child Fatalities (unique count),Reported in the Child File,Number,13,
Maryland,2014,Child Fatalities (unique count),Reported in the Agency File,Number,10,
Maryland,2014,Child Fatalities (unique count),Total,Number,23,
Maryland,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.703017451,
Michigan,2014,Child Fatalities (unique count),Reported in the Child File,Number,13,
Michigan,2014,Child Fatalities (unique count),Reported in the Agency File,Number,63,
Michigan,2014,Child Fatalities (unique count),Total,Number,76,
Michigan,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.417588891,
Minnesota,2014,Child Fatalities (unique count),Reported in the Child File,Number,15,
Minnesota,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Minnesota,2014,Child Fatalities (unique count),Total,Number,15,
Minnesota,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.170205629,
Mississippi,2014,Child Fatalities (unique count),Reported in the Child File,Number,22,
Mississippi,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Mississippi,2014,Child Fatalities (unique count),Total,Number,22,
Mississippi,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",3.00846884,
Missouri,2014,Child Fatalities (unique count),Reported in the Child File,Number,28,
Missouri,2014,Child Fatalities (unique count),Reported in the Agency File,Number,8,
Missouri,2014,Child Fatalities (unique count),Total,Number,36,
Missouri,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.585049938,
Montana,2014,Child Fatalities (unique count),Reported in the Child File,Number,4,
Montana,2014,Child Fatalities (unique count),Total,Number,4,
Montana,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.777588168,
Nebraska,2014,Child Fatalities (unique count),Reported in the Child File,Number,5,
Nebraska,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
Nebraska,2014,Child Fatalities (unique count),Total,Number,5,
Nebraska,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.071560986,
Nevada,2014,Child Fatalities (unique count),Reported in the Child File,Number,11,
Nevada,2014,Child Fatalities (unique count),Reported in the Agency File,Number,3,
Nevada,2014,Child Fatalities (unique count),Total,Number,14,
Nevada,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",2.110897508,
New Hampshire,2014,Child Fatalities (unique count),Reported in the Child File,Number,1,
New Hampshire,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
New Hampshire,2014,Child Fatalities (unique count),Total,Number,1,
New Hampshire,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.374334153,
New Jersey,2014,Child Fatalities (unique count),Reported in the Child File,Number,8,
New Jersey,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
New Jersey,2014,Child Fatalities (unique count),Total,Number,8,
New Jersey,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",0.397598307,
New Mexico,2014,Child Fatalities (unique count),Reported in the Child File,Number,7,
New Mexico,2014,Child Fatalities (unique count),Reported in the Agency File,Number,0,
New Mexico,2014,Child Fatalities (unique count),Total,Number,7,
New Mexico,2014,Child Fatalities (unique count),Total,"Rate per 100,000 Children",1.39456399,
New York,2014,Child Fatalities (unique count),Reported in the Child File,Number,102,
New York,2014,Child Fatalities (unique count),Reported in the Agency File,Number,12,
